"e, e",kb. 1 huruf kelima abjad Inggris.  2 Mus.: nada  E.
despondency,"kb. kemurungan, kesedihan, kepatahan semangat."
despondent,"ks. sangat sedih, remuk hati. to be d. over remuk hati karena."
despot,kb. 1 raja lalim. 2 orang yang lalim.
despotic,ks. lalim.
despotism,kb. kelaliman.
dessert,"kb. makanan pencuci mulut, kue-kue."
destination,kb. (tempat) tujuan .maksud.
destine,"kki. 1 mempersiapkan, memperuntukkan. 2 mentakdirkan, memperuntukkan."
destiny,"kb. (j. -nies) nasib, takdir, untung."
destitute,"ks. miskin, papa, melarat. to be utterly d. hidup melarat sekali, menjadi miskin sekali."
destitution,"kb. kemiskinan, kemelaratan, kepapaan."
destroy,"kkt. memusnahkan, merusakkan, menghancurkan. 2 membinasakan, membunuh (an  animal). to d. o.s. membunuh diri."
destroyer,kb. 1 perusak. d. of plants perusak tanaman. 2 Nav.: kapal pemburu/ perusak.
destructible,ks. yang dapat dirusak.
destruction,"kb. 1 pekerjaan merusak/menghancurkan / membinasakan.  Women were his d. Wanita-wanita menjadikan kehancurannya. 2 pe(ng) rusakan, pembongkaran (of a building)."
destructive,ks. 1 bersifat merusak. d. criticism kecaman yang bersifat merusak. d. child anak yang bersifat/suka merusak.  2 merusak. d. flood air bah yang merusak.
desultory,ks. tidak berketentuan. a d. conversation percakapan yang tidak berketentuan.  d. study cara yang tidak berketentuan.
detach,"kkt. 1 menyobek. 2 Mil.: menugaskan di suatu tempat. 3 melepaskan. to d. cars memisahkan/melepaskan gerobak - gerobak barang.  -detached  ks. 1 obyektif, tidak memihak. 2 terpisah. 3 terlepas, mengelopak."
detachable,"ks. yang dapat dilepaskan/ditanggalkan (of a cover, collar)."
detachment,kb. 1 Mil.: detasemen. 2 sikap yang tak terpengaruh. 3 hal melepaskan.
detail,"kb. seluk beluk, perincian. 2 bagian kecil-kecil. 3 kelompok. -kkt. 1 memperbantukan.  2 melukiskan panjang lebar, memperinci. -detailed ks. terperinci, yang panjang lebar."
detain,"kkt. 1 menahan, menawan. to d. s.o. for questioning menahan seseorang untuk pemeriksaan. 2 menghambat, menahan. I hope I haven't detained you too long  Saya harap saya tidak terlalu lama menahanmu."
detainee,kb. orang tahanan.
detect,kkt. 1 menemukan. 2 mencium. 3 mendapatkan 4 merasakan (sarcasm).
detection,kb. 1 penemuan. d. of crime  penemuan kejahatan.  2 tercium. d. of gas  tercium bau gas.
detective,"kb. detektip, reserse, mata-mata polisi. d. story cerita detektip."
detector,"kb. orang /alat yang dapat menemukan sesuatu, detektor. lie d. alat yang dapat menemukan seseorang berbohong. mine d. alat  pencari ranjau."
detention,"kb. penahanan, penawanan."
deter,kkt. (deterred) menghalangi.  Snow won't d. him from his trip.  Salju tak akan menghalanginya mengadakan perjalanan.
detergent,"kb. bahan pembersih, sabun, sabuk, deterjen."
deteriorate,kki. memburuk. The situation has deteriorated  Keadaan telah memburuk.
deterioration,"kb. keburukan, kemunduran, kemerosotan. d. in diplomatic relations  keadaan yang memburuk dalam hubungan diplomatik."
determinant,kb. faktor/hal yang menentukan. What is the prime d. in this care? Apakah faktor utama yang menentukan dalam perkara ini ?
determinate,"ks. sudah(ter)tentu, tetap positif. the d, order urutan yang sudah tentu."
determination,"kb. 1 kebulatan tekad, ketetapan hati. d. to further o.s. ketetapan hati untuk maju.  2 penentuan."
determine,kkt. 1 menentukan. 2 menetapkan. 3 memutuskan. -kki. memutuskan. -determined  ks. tekun.
deterrence,"kb. penolakan, penangkisan, pencegahan. lih  DETERRENT."
deterrent,"kb. 1 alat penghindaran/penangkis/ pencegah. the H-bomb as a d. bom hidrogen sebagai alat pencegah.  2 penghindaran, pencegahan, pengelakan."
detest,kkt. 1 benci. I d. sloppy language  Saya benci akan bahasa yang serampangan.  2 jijik. I simply d. her  Saya betul-betul merasa jijik terhadap dia.
detestable,ks. menjijikkan. a d.  deed  perbuatan yang menjijikkan.
detestation,kb. kebencian.
dethrone,kkt. menurunkan dari tahta.
detonate,"kkt. meledakkan, meletuskan.  -kki. meledak, meletus.  -detonating ks. yang meledakkan. d. cap tutup/tudung detonasi, (pe)ledakkan penahan peledakkan."
detonation,"kb. detonasi, (pe)ledakkan, (pe)letusan."
detonator,"kb. detonator, alat/bahan peledak."
detour,"kb. jalan memutar, pemutaran. -kki. mengambil jalan memutar."
detract,"kki. to d, from 1 mengurangi.  to d. from the beauty mengurangi keindahan. 2 menurunkan, memotong dari harganya."
detractor,"kb. pengumpan, pencela, pemfitnah, tukang fitnah."
detriment,"kb. kerusakan, kerugian. to the d. of his health sehingga merusak kesehatannya."
detrimental,ks. yang merusak/mengganggu. Lack of exercise can be d. to o's health  Kurang latihan badan dapat mengganggu kesehatan seseorang.
deuce,"kb. 1 dua (main kartu). 2 Tenn.: jus, 4 0 sama. 3 kurang ajar, gerangan. Who in the d. took my paper ? Kurang ajar ; siapa yang mengambil koranku ?"
devaluate,kkt. mendevaluasikan.
devaluation,kb. devaluasi.
devastate,"kkt. merusak(kan), menghancurkan. -devastating  ks. 1 yang menghancurkan. 2 sangat kena, sangat efektif.  -devastatingly kk. meluluhkan, menghancurkan, amat."
devastation,"kb. pe(ng)rusakan, penghancuran."
develop,kkt. 1 memperkembangkan (industry) 2 menghasilkan. 3 mencuci. 4 memperkuat. -kki. 1 menjadi. 2 selesai. 3 terjadi. 4 timbul.  -developing ks. sedang berkembang.
developer,"kb. 1 pembangun, ahli pembangunan. d. of low-cost housing (seorang) pembangun perumahan murah.  2 alat pencuci. d. of film alat pencuci filem."
development,kb. 1 perkembangan.  the latest d. perkembangan terakhir.  2 pembangunan.  housing d. pembangunan perumahan.  3 pertumbuhan (of a child).
developmental,"ks. yang berhububgan dengan perkembangan, pembangunan. d. economics ekonomi pembangunan."
deviant,kb. orang yang menyimpang. He's a d. from the norm  Ia seorang yang menyimpang dari patokan-patokan / ketentuan/ketentuan.
deviate,"kb., ks. (seorang) yang menyimpang.  -kki. 1 berselisih. The compass deviates slightly  Pedoman itu berselisih sedikit.  2 menyimpang. to d. from cours menyimpang dari haluan."
deviation,"kb. 1 deviasi, ikhtilaf. 2 penyimpangan. d. from the standart penyimpangan dati patokan. 3 selisih, simpangan. standard d. selisih pokok, simpangan baku."
deviationism,kb. penyelewengan/penyimpangan dari garis-garis politik partai.
deviationist,"kb. penyeleweng, orang yang menyimpang dari garis-garis politik partai."
device,"kb. 1 alat, perlengkapan. 2 muslihat."
devil,"kb. 1 syaitan, iblis.  2 orang yang penuh tipu daya. 3 orang yang malang. -kkt. membumbui (telur).  devil-may-care ks. masa bodoh, acuh tak acuh. -deviled  ks. yang dibumbui."
devilfish,kb. semacam ikan gurita.
devilish,"ks. 1 jahat, jahanam. a d. temper  tabiat jahat. 2 besar sekali. I got into d. trouble Saya terjerumus dalam kesukaran yang besar sekali."
devilment,kb. 1 perbuatan yang jahat. 2 kenekatan. I wonder what d. he's up to now ? Saya ingin tahu kenekatan apa yang hendak dilakukannya sekarang.
devious,ks. berliku-liku. d. trick/ways tipu daya yang berliku-liku. d. route jalan yang berliku-liku.
devise,"kkt. menemukan, memikirkan, merencanakan. to d. a way merencanakan suatu cara."
devoid,"ks. (samasekali) tanpa, ketiadaan. He was utterly d. of humor  Ia sama sekali tak memiliki rasa humor."
devote,kkt. 1 mencurahkan. 2 bertekun. 3 menyediakan.  to be devoted to  sayang akan adiknya yang perempuan.
devotee,kb. penggemar (yang taat kepada sesuatu).
devotion,kb. 1 kesetiaan. 2 ketaatan. d. to duty   ketaatan pada kewajiban. 3 kesayangan.  -devotions j. kebaktian keagamaan.
devotional,ks. yang bersifat  kebaktian. d. service  ibadah kebaktian.
devour,kkt. 1 mengganyang. 2 menelan. 3 melahap (o's food). 4 membaca.
devout,"ks. 1 yang beriman, saleh. a d. man pria yang beriman. 2 taat. -devoutly kk. dengan tulus-ikhlas, dengan segala ketulusan hati."
devulve,kki. berpindah. The responsibility devolved upon him  Tanggung jawab berpindah kepadanya.
dew,kb. embun.
dewdrop,kb. tetesan/titik embun.
dexterity,"kb. ketangkasan, kecekatan, ketrampilan."
dexterous,"ks. trampil, tangkas, cekatan."
dextrose,kb. dekstrosa.
diabetes,"kb. penyakit gula, penyakit kencing manis."
diabetic,kb. penderita penyakit kencing manis. -ks. yang berhubungan dengan penyakit kencing manis.
diabolical,"ks. kejam. d. torture penyiksaan yang kejam. d. grin seringai yang menyeramkan, menyeringai seperti setan."
diachronic,ks. berdasarkan/menurut sejarah. d. linguistics ilmu bahasa menurut sejarah.
diacritic,"kb. tanda pengenal, diakritik."
diacritical,ks. bersifat mengenal. d. mark tanda pengenal.
diadem,kb. mahkota.
diaeresis,"kb. tanda titik dua diatas huruf suara, menandakan supaya huruf itu dibunyikan juga."
diagnose,"kkt. menentukan diagnosa, mengenal (an illness)."
diagnosis,"kb. diagnosa, ilmu pengenal penyakit."
diagnostic,ks. yang berdasarkan/bertautan dengan diagnosa. d. test  percobaan untuk memudahkan pembuatan diagnosa.`
diagonal,kb. diagonal. -ks. 1 diagonal. 2 sudut-menyudut. -diagonally kk. secara diagonal.
diagram,"kb. diagram, buram, sketsa, bagan. -kkt. (diagrammed) 1 menggambar bagan/rencana. 2 memperlihatkan susunan daripada."
dial,"kb. 1 lempeng jam, muka arloji. 2 cakra angka (on dashboard). 3 cakra angka, piringan, tombol penjetel (radio, telephone, TV).  -kkt. 1 memutar angka (telephone) 2 memasang."
dialect,"kb. dialek, logat. provincial d. bahasa daerah. d. atlas peta logat-logat bahasa."
dialectal,ks. yang berhubungan  dengan dialek.
dialectic(s),kb. dialektika.
dialectical,ks.  berdasarkan dialektika. d. materialism materialisme (berdasarkan dialektika).
dialectician,kb. ahli dialektika.
dialectology,kb. dialektologi.
dialog,#NAME?
dialogue,"kb. dialog, percakapan dwicakap."
diameter,kb. garis tengah.
diametrical,"ks. diametral, yang samasekali bertentangan mengenai. -diametrically kk. samasekali bertentangan dengan pendapat kami."
diamond,"kb. 1 intan, berlian. 2 ret, wajik. 3  lapangan. baseball d. lapangan baseball."
diaper,kb. popok.
diaphragm,"kb. 1 Anat.: sekat, rongga badan antara dada dan perut, diafrakma. 2 (IUD) spiral."
diarrh(o)ea,"kb. mencret, murus."
diary,kb. (j. -ries) buku harian.
diatetics,"kb, ilmu yang mempelajari macam dan banyaknya makanan yang diperlukan oleh badan (cabang ilmu gizi)."
diatribe,kb. pidato atau tulisan berisi kecaman-kecaman yang tajam.
dibs,"kb., j. pilihan pertama. Sl.: D. on the candy pilihan pertama ialah gula-gula itu."
dice,"kb.,  j. dadu. to shoot d. bermain dadu. lih  DIE.  Sl.: no d. tak berhasil -kkt. memotong-motong. to d. potatoes  memotong-motong kentang dalam potongan-potongan persegi empat."
dichotomy,"kb. (j. -mies) pembagian dalam  dua bagian, pembelahan dua, bercabang dalam dua bagian."
dick,"kb. Sl.: mata-mata, reserse, detektip."
dickens,kseru. jahanam ? What the d. is going on here ? Dubilah/Sompret / Busyet ! Ada apa sih disini ?
dicker,"kki. bertawar-tawaran. to d. with the vendors  bertawar-tawaran dengan tukang-tukang jualan.  -dickering kb. tawar-menawar, bertawar-tawaran.  political d. tawar-menawar politik."
dict.,(dictionary)  kamus.
dictaphone,"kb. alat pengimla, alat mendikte surat-surat, mesin imla."
dictate,dictate
dictation,"kb. 1 pengimlaan, pendiktean. 2 apa yang didiktekan. 3 perintah."
dictator,kb. diktator.
dictatorial,"ks. 1 adikara. 2 angkuh, diktatoris. d. manner sifat angkuh."
dictatorship,kb. diktatur.
diction,kb. gaya menulis atau berbicara. 2 artikulasi.
dictionary,"kb. (j. -ries) kamus, kitab logat. d. making perkamusan."
dictum,"kb. (j. -a, -ums). keputusan, ucapan."
did,lih  DO.
didacric,ks. yang bersifat mendidik. d. novel roman yang bersifat mendidik.
didn't,(did not) lih DID.
die,"kb. (j. dice) mata dadu.  -kki. 1 mati. 2 mati, meninggal dunia. to d. hard sukar lenyap, kuat bertahan. to d. down 1 menghilang. 2 reda. - the dying  kb. yang akan mati.  ks. 1 hampir mati. 2 hampir hilang."
dieresis,#NAME?
diesel,kb. lokomotif disel. -ks. disel.  d. oil minyak disel/solar. d.-powered truck truk yang bertenaga disel.
diet,"kb. 1 diet.  to follow a strict d. mengikuti diet yang keras. 2 makanan,  diet. low-fat d. makanan yang sedikit lemaknya."
dietary,"ks. yang berhubungan dengan makanan. d. rules  peraturan-peraturan diet, peraturan-peraturan susunan makanan."
dietetic,ks. yang berhubungan dengan diet atau susunan makanan. d. foods makanan diet.
dietician,#NAME?
dietitian,kb. ahli/penata diet.
differ,kki. berbeda.  Opinions d. Pendapat-pendapat berbeda.
difference,"kb. 1  perbedaan.  2 pertentangan, perselisihan. 3 pertikaian. 4 selisihnya. 5 sisa."
different,"ks. tidak sama.  to be d. from berbeda dari, berlainan. -differently kk. berlainan, berbeda."
differential,ks. 1 yang berbeda. d. rates harga-harga yang berbeda. 2 diferensial. d. calculus hitungan diferensial.
differentiate,kkt. membedakan. -kki. mengadakan perbedaan.  to d. between two types  mengadakan perbedaan antara dua macam.
differentiation,"kb.  perbedaan, diferensiasi."
difficult,"ks. 1 sukar, sulit. 2 payah. (of  a problem)."
difficulty,kb. (j. ties) 1 kesukaran. financial difficulties  kesukaran-kesukaran keuangan.  2 kesulitan.
diffidence,"kb. 1 sifat malu-malu. 2  kehilangan kepercayaan kepada diri sendiri, ketakberanian."
diffident,ks. malu-malu.
diffuse,"ks. 1 bersifat panjang, memakai (terlalu) banyak kata-kata.  2 yang tersebar.  -kkt. menyebarkan."
diffusion,kb. 1 difusi. d. of light difusi  cahaya. 2 penyebaran. d. of  knowledge penyebaran pengetahuan.
diffusive,"ks. 1 bersifat, menyebar. 2 yang memakai kata-kata yang berlebih - lebihan."
dig,"kb. 1 (peng)galian. 2 sikutan, kotosan.  3 sindiran. -kkt. (dug) 1 menggali (a hole). 2 menusuk-nusuk, menjotos. 3 Sl.: mengerti. 4 Sl.: menghargai.  5 Sl.: menyukai. -kki. menggali. -digging kb. 1 penggalian. 2 tempat penggalian."
digest,"kb. 1 intisari. 2 perpendekan, persingkatan.  -kkt. 1 mencernakan (food). 2 menyelami isi  (a book). -kki. dicernakan. Ths food is difficult to d. Makanan ini sukar dicernakan."
digestible,ks. dapat dicernakan.
digestion,kb. pencernaan.  Arguments spoil my d. Saya muak mendengarkan argumen-argumen.
digestive,ks. yang bertautan dengan pencernaan. d. system susunan pencernaan. d. tablet tablet yang mempercepat pencernaan.
digger,kb. 1 (person) seorang penggali. 2 alat penggali.
digit,"kb. 1 jari tangan/kaki. 2 bijian, angka dari satu s/d sembilan. 3 jari sebagai ukuran panjang kira-kira 3/4 inci."
digital,ks. yang berhubungan dengan jari. d. computer mesin hitung yang mempergunakan angka-angka untuk sistim-sistim perhitungan tertentu.
digitalis,kb. daun-daunan dipakai sebagai obat memperkuat jantung.
dignify,"kkt. (dignified) menghargai, menaikkan derajat. -dignified) ks. yang bermartabat. a d. old gentleman seorang kakek yang bermartabat."
dignitary,"kb. (j. -ries) orang yang berkedudukan tinggi, orang yang terkemuka."
dignity,kb. (j. -ties) 1 martabat. 2 gengsi. He does everything with d. Segala sesuatu dilakukannya dengan gengsi.
digraph,"kb. huruf rangkap, dwihuruf."
digress,"kki. menyimpang, melantur. to d. from the subject menyimpang dari pokok pembicaraan."
digression,kb. penyimpangan.
dike,"kb. 1 tanggul, pematang. 2 (small) gili-gili. 3 bendungan, tambak."
dilapidate,kkt. merusak. -dilapidated ks. bobrok (karena tidak dipelihara). a d. mansion sebuah rumah besar yang bobrok.
dilate,"kki. membesar, meluas, melebar."
dilatory,"ks. terlambat, lalai. to be d. in terlambat dalam.  d. tactics siasat atau perbuatan memperlambat."
dilemma,"kb. 1 pilihan, dilema. 2 malu. on the horns of a d. bagai makan buah simalakama."
dilettante,"kb., ks. penggemar, pencinta kesenian (tanpa menjadi ahli)."
diligence,"kb. kerajinan, ketentuan."
diligent,"ks. rajin, tekun."
dill,"kb. tumbuh-tumbuhan yang bijinya harum dipakai untuk asinan, masak-masakan, minyak wangi dan obat-obatan. d. pickle acar timun yang memakai 'dill'."
dilly,kb. Sl.: (j. -lies) Sl.: orang atau hal yang dianggap luar biasa. She's a d. Perempuan itu betul-betul hebat.
dilly-dally,"kki. (dilly-dallied) membuang-buang waktu, berlengah-lengah."
dilute,"kkt. mencairkan, menipiskan. -diluted ks. yang ditambah air. d. orange juice air jeruk yang ditambah air."
dim,"ks. suram. d. light lampu yang suram. -kkt. (dimmed) mengurangkan, mengecilkan, mengedim. to d. the headlights mengecilkan lampu mobil. -kki. kecil cahayanya. The lights dimmed Lampu-lampu  berkurang cahayanya."
dime,"kb. sepicis, uang picisan.  a d. a dozen  banyak dan mudah didapat. d. store toko murah yang menjual barang dengan harga beberapa sen keatas."
dimension,"kb. 1 ukuran. the dimensions of a room ukuran sebuah ruangan. 2 besarnya, luasnya. We still do not know the dimensions of the problem  Kami belum mengetahui besarnya persoalan itu."
dimensional,"ks. yang bertautan dengan ukuran, dimensi atau luas. two-d. dua-dimensi."
diminish,kkt. mengurangi. to d. s.o's enthusiasm mengurangi semangat seseorang.  -kki. berkurang.  -diminishing ks. yang berkurang.
diminution,kb. 1 pengurangan. d. of strength pengurangan tenaga. 2 penyusutan.
diminutive,kb. Gram.: kata pengecil. -ks. kecil. d. replica of the original tiruan yang kecil daripada yang asli.
dimmer,"kb. lampu dim, alat penyuram."
dimple,kb. lesung/cawak pipi.
dimwit,kb. Inf.: orang yang tolol.
dimwitted,"ks. Inf.: bodoh, tolol, goblok."
din,"kb. keriuhan, hiruk-pikuk. -kkt. (dinned) meneriakkan terus-menerus."
dine,"kki. makan malam.  to d. on makan. to d. on fish makan ikan. to d. out makan malam diluar. dining car kereta makan, restoran kereta api. dining room kamar/ruang makan."
diner,kb. 1 RR.: kereta makan. 2 pengunjung  untuk makan  malam. 3 (restaurant) kedai makan.
ding-dong,kb. bunyi (genta). -ks. Inf.: a d. game pertandingan yang seru.
dinghy,kb. joli. sampan kecil.
dinginess,"kb. 1 kekotoran, kekumalan. 2 kesuraman."
dingy,"ks. 1 kumal, kotor, renyuk dan kotor. d. room kamar yang kumal. 2 suram."
dinky,ks. Inf.: kecil. d. house rumah yang kecil.
dinner,kb. makan malam. d. dance jamuan makan malam diikuti dengan dansa. d. hour waktu makan malam.
